date,total_gross
2022-09-04,75507337
2022-09-11,70327351
2022-09-18,66240811
2022-09-25,80573153
2022-10-02,85620995
2022-10-09,82902778
2022-10-16,100726264
2022-10-23,132913820
2022-10-30,101299588
2022-11-06,82793838
2022-11-13,228488565
2022-11-20,147488208
2022-11-27,159827136
2022-12-04,73051262
2022-12-11,56546229
2022-12-18,166428827
2022-12-25,178033377
2023-01-01,251699367
2023-01-08,179319845
2023-01-15,136805113
2023-01-22,119015518
2023-01-29,98388755
2023-02-05,101150178
2023-02-12,74624671
2023-02-19,172328690
2023-02-26,140332112
2023-03-05,143970466
2023-03-12,151293039
2023-03-19,140121455
2023-03-26,144561798
2023-04-02,134574778
2023-04-09,302123814
2023-04-16,227065828
2023-04-23,166258344
2023-04-30,136941473
2023-05-07,188470640
2023-05-14,149844262
2023-05-21,156434413
2023-05-28,202998506
2023-06-04,291118889
2023-06-11,253223564
2023-06-18,235671476
2023-06-25,192190062
2023-07-02,188086768
2023-07-09,236140770
2023-07-16,231441357
2023-07-23,382120991
2023-07-30,394696572
2023-08-06,306212965
2023-08-13,207125537
2023-08-20,160043965
2023-08-27,133782484
2023-09-03,123154480
2023-09-10,134086576
2023-09-17,91622943
2023-09-24,73483235
2023-10-01,104488569
2023-10-08,99985020
2023-10-15,160760401
2023-10-22,105126501
2023-10-29,147636827
2023-11-05,93284249
2023-11-12,102462638
2023-11-19,137344074
2023-11-26,203726297
2023-12-03,124745662
2023-12-10,101840439
2023-12-17,101637083
2023-12-24,137613619
2023-12-31,298039533
2024-01-07,170515013
2024-01-14,123953163
2024-01-21,104838659
2024-01-28,77319382
2024-02-04,80303077
2024-02-11,55363218
2024-02-18,123236968
2024-02-25,94068506
2024-03-03,134232169
2024-03-10,176349777
2024-03-17,140174095
2024-03-24,136407891
2024-03-31,178651631
2024-04-07,133978901
2024-04-14,100034226
2024-04-21,89402045
2024-04-28,86056846
2024-05-05,96723458
2024-05-12,120387890
2024-05-19,128567945
2024-05-26,134258760
2024-06-02,125908667
2024-06-09,138550542
2024-06-16,250249512
2024-06-23,287641692
2024-06-30,229811898
2024-07-07,283715622
2024-07-14,206980652
2024-07-21,213262810
2024-07-28,364394798
2024-08-04,301138162
2024-08-11,240975611
2024-08-18,213802914
2024-08-25,146906632
2024-09-01,119007913
2024-09-08,189703922
2024-09-15,132654569
2024-09-22,112223098
2024-09-29,118856803
2024-10-06,114751552
2024-10-13,97792713
2024-10-20,102150072
2024-10-27,119290974
2024-11-03,104097059
2024-11-10,5780113
